epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
108,71998.3,0.86373,0.33262,0.00107,0.96094,0.87153,0.94016,0.81001,0.80864,0.45014,0.00165,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,72662.3,0.86191,0.32949,0.00107,0.95947,0.87507,0.94034,0.81106,0.80378,0.45187,0.00164,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,658.456,0.81955,0.31305,0.001,0.96007,0.87425,0.94052,0.81142,0.80217,0.4515,0.00164,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,1320.23,0.86368,0.32895,0.00107,0.95993,0.87439,0.94059,0.81223,0.80089,0.45209,0.00163,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,1983.22,0.88215,0.33986,0.00109,0.96097,0.87234,0.94064,0.81334,0.79807,0.45186,0.00163,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,2656.12,0.87655,0.33578,0.00109,0.96326,0.87234,0.94115,0.8145,0.79732,0.45204,0.00163,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,3321.29,0.88166,0.33744,0.00109,0.96962,0.86711,0.94133,0.81497,0.79606,0.45141,0.00162,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,3983.98,0.88226,0.34398,0.0011,0.97077,0.86818,0.94155,0.81561,0.79439,0.44997,0.00162,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,4646.95,0.87836,0.34201,0.00109,0.96928,0.86991,0.94192,0.8166,0.79207,0.45059,0.00162,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,5310.11,0.87439,0.34298,0.00108,0.96881,0.86912,0.94201,0.81748,0.78941,0.44986,0.00161,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,5973.29,0.87462,0.34291,0.00108,0.97201,0.86989,0.94232,0.81857,0.78881,0.44531,0.00161,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,6636.58,0.86866,0.3431,0.00107,0.97014,0.86928,0.94263,0.81904,0.78544,0.44813,0.00161,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,7299.58,0.86903,0.33893,0.00107,0.97097,0.86763,0.94278,0.81959,0.7832,0.44855,0.0016,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,7963.13,0.8594,0.33628,0.00105,0.97038,0.86999,0.94274,0.81999,0.78087,0.44929,0.0016,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,8626.65,0.85549,0.33266,0.00105,0.97022,0.8703,0.94284,0.82069,0.77914,0.44834,0.0016,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,9289.9,0.86281,0.3379,0.00106,0.97231,0.86768,0.94279,0.82115,0.7774,0.44796,0.00159,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,9953.2,0.85921,0.33822,0.00106,0.97127,0.87008,0.94278,0.82224,0.77562,0.44743,0.00159,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,10616.5,0.85865,0.33721,0.00105,0.97256,0.86872,0.94274,0.82296,0.77609,0.44668,0.00159,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,11279.8,0.84996,0.33367,0.00104,0.97364,0.8701,0.94278,0.8238,0.77341,0.44768,0.00158,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,11943.2,0.85056,0.33255,0.00104,0.97185,0.8701,0.94296,0.82447,0.77153,0.44798,0.00158,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,12606.7,0.84188,0.32505,0.00103,0.97586,0.86707,0.94311,0.82524,0.77064,0.44847,0.00158,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,13270.1,0.83292,0.32011,0.00103,0.97563,0.8669,0.94281,0.82526,0.76805,0.44991,0.00157,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,13933,0.83305,0.32545,0.00103,0.97073,0.8701,0.94268,0.82595,0.76626,0.45034,0.00157,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,14595.5,0.82907,0.32068,0.00102,0.9726,0.86928,0.94261,0.82684,0.7632,0.45173,0.00156,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,15259,0.83237,0.32107,0.00101,0.97318,0.86928,0.94243,0.82711,0.76166,0.45296,0.00156,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,15922.2,0.82118,0.31913,0.00101,0.97325,0.86934,0.94254,0.82741,0.76017,0.45349,0.00155,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,16585.7,0.82222,0.31619,0.00101,0.97376,0.86989,0.94227,0.82805,0.75804,0.45472,0.00155,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,17249,0.81888,0.31471,0.00099,0.97257,0.86901,0.94224,0.8276,0.75771,0.45504,0.00155,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,17911.8,0.81393,0.31411,0.001,0.9742,0.86908,0.94217,0.82819,0.75534,0.45524,0.00155,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
137,18575.4,0.80794,0.31325,0.00098,0.97276,0.86949,0.94177,0.82891,0.75427,0.45375,0.00155,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
138,19239.8,0.80395,0.31024,0.00098,0.97303,0.86806,0.9418,0.83021,0.75128,0.45543,0.00154,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479
