epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,8239.57,0.92241,1.30211,0.59214,0.00286,1.49727,0.92719,0.92686,0.96237,0.73536,0.92768,0.9252,0.96127,0.6878,0.91904,1.32516,0.42602,0.00484,0,0.000737829,0.000245943,0.000737829,0.000245943,0.000737829,0.000245943,0.000737829,0.000245943
47,8408.46,0.94272,1.33077,0.61356,0.00291,1.51359,0.92953,0.92542,0.96225,0.73733,0.92946,0.92381,0.96157,0.68349,0.91375,1.3168,0.42391,0.00481,0,0.000736225,0.000245408,0.000736225,0.000245408,0.000736225,0.000245408,0.000736225,0.000245408
48,8574.83,0.92661,1.30714,0.59039,0.00289,1.46386,0.9304,0.9267,0.9631,0.7383,0.93189,0.92431,0.96234,0.68769,0.91718,1.32549,0.42475,0.00483,0,0.000734621,0.000244874,0.000734621,0.000244874,0.000734621,0.000244874,0.000734621,0.000244874
49,8738.34,0.9334,1.29628,0.58849,0.0029,1.49307,0.9343,0.92484,0.96424,0.73814,0.93436,0.92439,0.96346,0.68824,0.91885,1.3179,0.42348,0.00485,0,0.000733018,0.000244339,0.000733018,0.000244339,0.000733018,0.000244339,0.000733018,0.000244339
50,8903.31,0.92571,1.30246,0.58933,0.00287,1.50897,0.93673,0.92643,0.96399,0.73869,0.936,0.92541,0.96278,0.68808,0.91741,1.32417,0.4196,0.00483,0,0.000731414,0.000243805,0.000731414,0.000243805,0.000731414,0.000243805,0.000731414,0.000243805
51,9067.87,0.93015,1.30516,0.58501,0.0029,1.48985,0.93672,0.92592,0.9646,0.73906,0.93655,0.92535,0.96345,0.68746,0.91788,1.32385,0.41963,0.00484,0,0.00072981,0.00024327,0.00072981,0.00024327,0.00072981,0.00024327,0.00072981,0.00024327
52,9231.57,0.92958,1.30268,0.5763,0.00289,1.45873,0.93414,0.92623,0.96392,0.73892,0.93421,0.92489,0.96278,0.69007,0.91569,1.31344,0.41878,0.00482,0,0.000728206,0.000242735,0.000728206,0.000242735,0.000728206,0.000242735,0.000728206,0.000242735
53,9394.58,0.9098,1.28446,0.55936,0.00283,1.45491,0.93457,0.92856,0.96382,0.73907,0.93394,0.92793,0.96298,0.68871,0.91595,1.3118,0.41557,0.00484,0,0.000726602,0.000242201,0.000726602,0.000242201,0.000726602,0.000242201,0.000726602,0.000242201
54,9556.46,0.92541,1.28497,0.56356,0.00286,1.44768,0.93875,0.9236,0.96437,0.73954,0.93885,0.92284,0.96323,0.69042,0.91549,1.31421,0.41675,0.00481,0,0.000724999,0.000241666,0.000724999,0.000241666,0.000724999,0.000241666,0.000724999,0.000241666
55,9719.23,0.92133,1.28416,0.55852,0.00286,1.45743,0.93245,0.92993,0.96467,0.74057,0.93285,0.92965,0.96392,0.69149,0.91516,1.31409,0.41514,0.00482,0,0.000723395,0.000241132,0.000723395,0.000241132,0.000723395,0.000241132,0.000723395,0.000241132
