epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,15356.4,1.02444,1.349,0.43943,0.00838,0.91133,0.98221,0.98469,0.9919,0.75809,0.92738,0.92028,0.92066,0.51198,0.95239,1.18598,0.26668,0.013,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,15597.1,1.02666,1.35273,0.43417,0.00846,0.91454,0.98618,0.9861,0.99212,0.75787,0.93079,0.92856,0.9206,0.51208,0.94842,1.18435,0.26623,0.01293,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,15840.2,1.01979,1.35503,0.44157,0.00837,0.96222,0.98548,0.987,0.99197,0.75617,0.93514,0.92746,0.92596,0.51661,0.95298,1.18036,0.26575,0.01299,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,16082.3,1.02384,1.34984,0.4314,0.00835,0.88066,0.98552,0.9882,0.99267,0.75973,0.92617,0.92576,0.92125,0.51831,0.95047,1.17653,0.26555,0.01298,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,16323.7,1.02151,1.34344,0.42594,0.00837,0.91508,0.98268,0.9867,0.99212,0.76076,0.92519,0.92433,0.92675,0.5204,0.95325,1.17542,0.26572,0.01301,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,16565.1,1.0169,1.33878,0.42098,0.00831,0.92046,0.9847,0.98734,0.99204,0.76509,0.92513,0.92473,0.92632,0.52499,0.95112,1.19489,0.26125,0.01296,0,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,16808.7,1.01611,1.34203,0.43215,0.00831,0.89025,0.98607,0.98522,0.99196,0.75997,0.92602,0.92508,0.91784,0.51593,0.95926,1.18707,0.26094,0.0131,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,17049.8,1.02548,1.34156,0.42866,0.0084,0.94944,0.98527,0.98795,0.99287,0.76531,0.92836,0.92423,0.92523,0.5247,0.95645,1.17249,0.2598,0.01307,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,17291.4,1.0172,1.34504,0.4328,0.00831,0.89748,0.98722,0.98581,0.99266,0.76446,0.9294,0.92791,0.92879,0.5268,0.95164,1.17831,0.26597,0.01297,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,17534.6,1.012,1.33827,0.41872,0.00829,0.88468,0.98668,0.98613,0.99265,0.76484,0.93178,0.92561,0.92727,0.52249,0.95289,1.17993,0.26348,0.01301,0,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,17775.4,1.01145,1.33835,0.42222,0.00831,0.86537,0.98221,0.98842,0.99293,0.76187,0.92858,0.9226,0.92324,0.51953,0.94891,1.17221,0.2679,0.01294,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,18017,1.008,1.33061,0.42323,0.00825,0.86476,0.98819,0.98843,0.99221,0.76285,0.92825,0.92658,0.9256,0.51899,0.94854,1.1831,0.26472,0.01295,0,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,18258.7,1.00998,1.33782,0.42379,0.00825,0.89533,0.98533,0.98889,0.99263,0.76474,0.92755,0.9255,0.92667,0.52648,0.94803,1.17177,0.26622,0.01293,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,18499.7,1.01091,1.33075,0.42364,0.0083,0.84143,0.98432,0.98818,0.99254,0.76498,0.93161,0.92589,0.93108,0.52842,0.94725,1.17305,0.26554,0.01293,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,18743.4,0.99548,1.30875,0.40934,0.00814,0.86803,0.98856,0.98719,0.99253,0.76671,0.93149,0.92738,0.92647,0.527,0.94748,1.17754,0.26291,0.01294,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,18987.2,1.00551,1.32689,0.41572,0.00822,0.88503,0.99058,0.98483,0.99298,0.77062,0.9322,0.92485,0.92345,0.52625,0.94106,1.17682,0.26189,0.01281,0,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,19230.2,1.00489,1.32073,0.41309,0.00821,0.89649,0.98773,0.9867,0.99285,0.76804,0.92798,0.9249,0.92754,0.52909,0.94345,1.17964,0.26133,0.01287,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,19474.9,0.99791,1.30827,0.41049,0.00814,0.84877,0.98744,0.9864,0.99262,0.76811,0.92948,0.9267,0.92585,0.52506,0.94455,1.18838,0.26315,0.01288,0,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,19715.5,0.99452,1.31366,0.41054,0.00815,0.84531,0.98673,0.98984,0.99278,0.76884,0.92617,0.9293,0.92163,0.52627,0.94255,1.18672,0.26434,0.01286,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,19956.3,0.99378,1.30177,0.4139,0.00814,0.80973,0.98796,0.98628,0.99333,0.76733,0.92758,0.92343,0.9241,0.52269,0.94157,1.18373,0.26121,0.01284,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,20199.6,0.99943,1.3108,0.41288,0.00814,0.85302,0.98467,0.98733,0.99306,0.76198,0.92595,0.92836,0.92173,0.52184,0.9453,1.17977,0.26935,0.01291,0,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,20441.7,1.00124,1.31246,0.42229,0.00818,0.87268,0.9847,0.9882,0.99279,0.76683,0.92485,0.92816,0.92267,0.52402,0.94086,1.18426,0.2677,0.01282,0,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,20682.5,0.99816,1.3064,0.42242,0.00815,0.87588,0.98691,0.98874,0.99276,0.76657,0.92692,0.92477,0.92074,0.52468,0.94497,1.19494,0.26494,0.01288,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,20923.5,0.98869,1.30341,0.40778,0.00802,0.8411,0.98611,0.98683,0.99279,0.76289,0.93307,0.92471,0.92327,0.52017,0.94951,1.18187,0.26965,0.01299,0,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,21164.9,0.98729,1.28554,0.40123,0.00802,0.84186,0.98607,0.98875,0.99258,0.76492,0.92745,0.92766,0.92407,0.52617,0.94528,1.2005,0.26818,0.01289,0,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,21407.8,0.98983,1.29522,0.40445,0.00804,0.85773,0.98677,0.98713,0.99266,0.76653,0.9311,0.93093,0.93282,0.52578,0.94611,1.18548,0.26071,0.01292,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,21649.6,0.9908,1.30032,0.41063,0.00805,0.87986,0.98844,0.98661,0.99293,0.7682,0.93612,0.93126,0.92856,0.52568,0.94288,1.19046,0.26038,0.01288,0,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,21890.9,0.97893,1.28143,0.40009,0.00794,0.83276,0.98862,0.98404,0.99139,0.76963,0.93281,0.92708,0.92326,0.52536,0.94797,1.20243,0.26262,0.01293,0,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,22132.7,0.98465,1.2986,0.4075,0.00797,0.87894,0.98757,0.98693,0.9931,0.77014,0.93104,0.9287,0.92867,0.5266,0.94231,1.20624,0.2609,0.01288,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,22374.2,0.9789,1.27836,0.39783,0.00795,0.82711,0.98906,0.98608,0.99304,0.76949,0.93294,0.92922,0.9303,0.52966,0.94815,1.19342,0.26175,0.01294,0,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,22618.7,0.97469,1.27861,0.40783,0.00789,0.83217,0.98708,0.987,0.99288,0.7704,0.93121,0.92738,0.92964,0.52908,0.94093,1.20095,0.2636,0.01283,0,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,22861,0.97066,1.27012,0.39393,0.00791,0.84364,0.98889,0.98654,0.99253,0.77078,0.93272,0.93028,0.92946,0.53196,0.94182,1.19995,0.25974,0.01285,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,23104.7,0.97777,1.27141,0.39998,0.00793,0.79615,0.98935,0.98822,0.99299,0.76872,0.93412,0.92853,0.9288,0.52463,0.94325,1.20099,0.26364,0.01289,0,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,23346.1,0.9755,1.26996,0.39061,0.00796,0.80612,0.98785,0.98712,0.9927,0.76976,0.93318,0.92833,0.92812,0.52732,0.9436,1.20218,0.26158,0.01288,0,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,23587.1,0.97143,1.28191,0.40645,0.00788,0.86337,0.98795,0.98647,0.99296,0.77103,0.93158,0.93004,0.93066,0.53102,0.94048,1.19788,0.26121,0.01283,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
